Type,Label,Amount,Direction,OpenPrice,Profit/Loss in pips,OpenDate,CloseDate,Comments,A_Global (アカウントがグローバル・アカウントの場合にtrue),A_CreditLine (取引可能額。値は約5秒間隔で更新されている。),A_Currency (アカウントの通貨設定),A_Equity (純資産額。値は約5秒間隔で更新されている。),A_Leverage (レバレッジ設定),A_MarginCutLevel (マージンカットレベル。このレベルを超過するとマージンカット(ロスカット)。),A_OverWeekEndLeverage (ウィークエンド・レバレッジ・レベル。このレベルを超過するとマージンカット(ロスカット)。),A_UseOfLeverage (証拠金使用率。値は約5秒間隔で更新されている。),A_Balance
ORDER_CLOSE_OK (注文の決済が完了した後に送られます),Sell_20111107_010319_864,0.01,SELL,93.094,17.4,2010/01/01 04:00:00 000,2010/01/01 06:29:59 999,2010/01/01 03:30:00 000 RSI : 75.86596098147258 >> 75.86423274559148,false,4063592.0,JPY,49945.32,100.0,200,80,18.64,49955.32
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010325_749,0.01,SELL,93.125,0.0,,,2010/01/07 21:00:00 000 RSI : 73.48428102516121 >> 72.78972030291504,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010325_749,0.01,SELL,93.125,0.0,,2010/01/07 21:30:00 000,2010/01/07 21:00:00 000 RSI : 73.48428102516121 >> 72.78972030291504,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010325_780,0.01,SELL,93.24,0.0,,,2010/01/07 21:30:00 000 RSI : 76.09997101855139 >> 75.06296159143032,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010325_780,0.01,SELL,93.24,0.0,,2010/01/07 22:00:00 000,2010/01/07 21:30:00 000 RSI : 76.09997101855139 >> 75.06296159143032,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010325_983,0.01,SELL,93.705,0.0,,,2010/01/08 07:00:00 000 RSI : 74.95468575426672 >> 74.63983351123088,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010325_983,0.01,SELL,93.705,0.0,,2010/01/08 07:30:00 000,2010/01/08 07:00:00 000 RSI : 74.95468575426672 >> 74.63983351123088,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Buy_20111107_010327_065,0.01,BUY,92.59,0.0,,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_FILL_OK (注文が約定した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.59,-2.0,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5906,-51.6,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,3719745.0,JPY,46456.45,100.0,200,80,19.93,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5912,-165.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2584139.0,JPY,35100.45,100.0,200,80,26.38,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.593,-116.3,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,3073533.0,JPY,39994.45,100.0,200,80,23.15,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5936,-150.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2731715.0,JPY,36576.45,100.0,200,80,25.31,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5942,-177.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2461109.0,JPY,33870.45,100.0,200,80,27.34,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5948,-184.0,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2395503.0,JPY,33214.45,100.0,200,80,27.88,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5954,-147.0,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2764897.0,JPY,36908.45,100.0,200,80,25.09,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5972,-138.7,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2849291.0,JPY,37752.45,100.0,200,80,24.53,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5978,-220.3,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2032473.0,JPY,29584.45,100.0,200,80,31.3,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5984,-274.3,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1491867.0,JPY,24178.45,100.0,200,80,38.3,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.599,-237.9,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1856261.0,JPY,27822.45,100.0,200,80,33.28,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.5996,-298.0,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1255655.0,JPY,21816.45,100.0,200,80,42.44,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6014,-260.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1635049.0,JPY,25610.45,100.0,200,80,36.16,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.602,-275.2,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1483231.0,JPY,24092.45,100.0,200,80,38.44,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6026,-236.8,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1867625.0,JPY,27936.45,100.0,200,80,33.15,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6032,-196.3,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2272019.0,JPY,31980.45,100.0,200,80,28.96,51606.45
